name,price,info
არაყი Staritsky & Levitsky Private Cellar - 0.75L,"199,90 ₾","ბრენდიStaritsky & Levitsky წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატინაღები,რბილი გემოპიტნა, აბზინდა, დაბალანსებული ალკ. შემცველობა40% მოცულობა0.75"
არაყი Staritsky & Levitsky - 0.5L,"49,90 ₾","ბრენდიStaritsky & Levitsky წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიცოცხალი გემოჭვავის პური, ოდნავ ცხარე, დაბალანსებული ალკ. შემცველობა40% მოცულობა0.5"
არაყი Staritsky & Levitsky - 0.5L,"49,90 ₾","ბრენდიStaritsky & Levitsky წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიცოცხალი გემოჭვავის პური, ოდნავ ცხარე, დაბალანსებული ალკ. შემცველობა40% მოცულობა0.5"
"Absolut, მოცხარის არაყი - 0.5L","31,50 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოშავი მოცხარი ალკ. შემცველობა40% მოცულობა0.5
"Absolut, მოცხარის არაყი - 0.5L","31,50 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოშავი მოცხარი ალკ. შემცველობა40% მოცულობა0.5
"არაყი Koskenkorva - 0,5L","20,90 ₾",ბრენდიKoskenkorva წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდაბალანსებული გემოკლასიკური ალკ. შემცველობა40% მოცულობა0.5
"არაყი Koskenkorva - 0,5L","20,90 ₾",ბრენდიKoskenkorva წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდაბალანსებული გემოკლასიკური ალკ. შემცველობა40% მოცულობა0.5
არაყი Wyborowa - 1L,"39,90 ₾",ბრენდიWyborowa წარმოშობაპოლონეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატირბილი გემოკარგად დაბალანსებული ალკ. შემცველობა40% მოცულობა1
არაყი Wyborowa - 1L,"39,90 ₾",ბრენდიWyborowa წარმოშობაპოლონეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატირბილი გემოკარგად დაბალანსებული ალკ. შემცველობა40% მოცულობა1
არაყი Grey Goose - 0.7L,"122,90 ₾","ბრენდიGrey Goose წარმოშობასაფრანგეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა, ნუში,წიწაკა გემოანისი, წიწაკა, პარფუმი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Grey Goose - 0.7L,"122,90 ₾","ბრენდიGrey Goose წარმოშობასაფრანგეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა, ნუში,წიწაკა გემოანისი, წიწაკა, პარფუმი ალკ. შემცველობა40% მოცულობა0.7"
"Danzka, ჟოლოს არაყი - 1L","42,90 ₾",ბრენდიDanzka წარმოშობადანია ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოწითელი კენკროვანი ხილი ალკ. შემცველობა40% მოცულობა1
"Danzka, ჟოლოს არაყი - 1L","42,90 ₾",ბრენდიDanzka წარმოშობადანია ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოწითელი კენკროვანი ხილი ალკ. შემცველობა40% მოცულობა1
არაყი Absolut Elyx - 0.7L,"105,00 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიკრემ ბრულე, თეთრი წიწაკა, თხილი გემოლავანდა, შავი წიწაკა ალკ. შემცველობა42.3% მოცულობა0.7"
არაყი Absolut Elyx - 0.7L,"105,00 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიკრემ ბრულე, თეთრი წიწაკა, თხილი გემოლავანდა, შავი წიწაკა ალკ. შემცველობა42.3% მოცულობა0.7"
არაყი Belvedere - 0.5L,"94,90 ₾","ბრენდიBelvedere წარმოშობაპოლონეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატივანილი, ნაღები გემოვანილი, ოდნავ ცხარე პილპილი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Belvedere - 0.5L,"94,90 ₾","ბრენდიBelvedere წარმოშობაპოლონეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატივანილი, ნაღები გემოვანილი, ოდნავ ცხარე პილპილი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Distil N9 - 0.5L,"28,50 ₾","ბრენდიDistil N9 წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატირბილი გემორბილი, კარგად დაბალანსებული ალკ. შემცველობა40% მოცულობა0.5"
არაყი Distil N9 - 0.5L,"28,50 ₾","ბრენდიDistil N9 წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატირბილი გემორბილი, კარგად დაბალანსებული ალკ. შემცველობა40% მოცულობა0.5"
არაყი Nemiroff De Luxe - 1L,"41,50 ₾","ბრენდიNemiroff წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიყვავილოვანი,ხორბალი გემოყვავილოვანი, ხორბალი ალკ. შემცველობა40% მოცულობა1"
არაყი Nemiroff De Luxe - 1L,"41,50 ₾","ბრენდიNemiroff წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიყვავილოვანი,ხორბალი გემოყვავილოვანი, ხორბალი ალკ. შემცველობა40% მოცულობა1"
ქართული ღვინისგან დისტილირებული არაყი კირკე - 0.75L,"58,80 ₾",ბრენდიკირკე წარმოშობასაქართველო ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდაბალანსებული გემოკლასიკური ალკ. შემცველობა40% მოცულობა0.75
ქართული ღვინისგან დისტილირებული არაყი კირკე - 0.75L,"58,80 ₾",ბრენდიკირკე წარმოშობასაქართველო ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდაბალანსებული გემოკლასიკური ალკ. შემცველობა40% მოცულობა0.75
"Absolut, ვანილის არაყი - 1L","54,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიინტენსიური ვანილი გემოვანილი, კარამელი, შოკოლადი ალკ. შემცველობა40% მოცულობა1"
"Absolut, ვანილის არაყი - 1L","54,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიინტენსიური ვანილი გემოვანილი, კარამელი, შოკოლადი ალკ. შემცველობა40% მოცულობა1"
არაყი Celsius Classic - 0.5L,"21,70 ₾","ბრენდიCelsius წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა გემომსუბუქი, ხავერდოვანი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Celsius Classic - 0.5L,"21,70 ₾","ბრენდიCelsius წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა გემომსუბუქი, ხავერდოვანი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Belvedere - 0.7L,"122,90 ₾","ბრენდიBelvedere წარმოშობაპოლონეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატივანილი, ნაღები გემოვანილი, ოდნავ ცხარე პილპილი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Belvedere - 0.7L,"122,90 ₾","ბრენდიBelvedere წარმოშობაპოლონეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატივანილი, ნაღები გემოვანილი, ოდნავ ცხარე პილპილი ალკ. შემცველობა40% მოცულობა0.7"
